Collection,Original Name,Canonical FIN- SKU,Length,Depth,Height,Base MSRP,Base Weight
Milan,"MILAN DOUBLE-SIDED SOFA 60"" x 62"" x 16"" SH",FIN-MLN-SOF-60X62,60,62,16,"$5,420.00",
Milan,"MILAN T-SHAPED SOFA 62"" x 42"" x 22"" x 16"" SH",FIN-MLN-SOF-62X42,62,42,22,"$5,700.00",
Ocean,"OCEAN ROUND SIDE TABLE 36"" x 17""",FIN-OCN-SID-TAB-36X17,36,17,16'',"$1,150.00",
Bravada,"BRAVADA COFFEE TABLE 28"" x 42"" x 17""",FIN-BRV-COF-TAB-28X42,28,42,17,"$2,280.00",
Bravada,"BRAVADA COFFEE TABLE 36"" x 36"" x 17""",FIN-BRV-COF-TAB-36X36,36,36,17,"$2,280.00",
Bravada,"BRAVADA COFFEE TABLE 36"" x 56"" x 17""",FIN-BRV-COF-TAB-36X56,36,56,17,"$3,000.00",
Bravada,"BRAVADA COFFEE TABLE 42"" x 42"" x 17""",FIN-BRV-COF-TAB-42X42,42,42,17,"$2,880.00",
Bravada,"BRAVADA COFFEE TABLE 42"" x 56"" x 17""",FIN-BRV-COF-TAB-42X56,42,56,17,"$3,120.00",
Bravada,"BRAVADA COFFEE TABLE 56"" x 56"" x 17""",FIN-BRV-COF-TAB-56X56,56,56,17,"$4,320.00",
Ocean,"OCEAN COFFEE TABLE 28"" x 56"" x 17""",FIN-OCN-COF-TAB-28X56,28,56,17,"$3,000.00",
Ocean,"OCEAN COFFEE TABLE 36"" x 56"" x 17""",FIN-OCN-COF-TAB-36X56,36,56,17,"$3,240.00",
Ocean,"OCEAN COFFEE TABLE 36"" x 72"" x 17""",FIN-OCN-COF-TAB-36X72,36,72,17,"$3,840.00",
Ocean,"OCEAN COFFEE TABLE 42"" x 42"" x 17""",FIN-OCN-COF-TAB-42X42,42,42,17,"$3,120.00",
Ocean,"OCEAN COFFEE TABLE 42"" x 56"" x 17""",FIN-OCN-COF-TAB-42X56,42,56,17,"$3,480.00",
Ocean,"OCEAN COFFEE TABLE 56"" x 56"" x 17""",FIN-OCN-COF-TAB-56X56,56,56,17,"$4,560.00",
Ocean,"OCEAN COFFEE TABLE 28"" x 42"" x 17""",FIN-OCN-COF-TAB-28X42,28,42,17,"$2,520.00",
Ocean,"FLY TABLE 34"" X 12""",FIN-OCN-TAB-34X12,34,12,2'',$650.00,
Ocean,"T TABLE 13"" x 30"" x 16""",FIN-OCN-TAB-13X30,13,30,16,$480.00,
Brooklyn,"STAR LEG TABLE (BAR HEIGHT) 36"" x 36"" x 42""",FIN-BRK-BAR-TAB-36X36,36,36,42,"$3,000.00",
Brooklyn,"STAR LEG TABLE (BAR HEIGHT) 42"" x 42"" x 42""",FIN-BRK-BAR-TAB-42X42,42,42,42,"$3,120.00",
Brooklyn,"STAR LEG TABLE (COUNTER HEIGHT) 36"" x 36"" x 36""",FIN-BRK-CNT-TAB-36X36,36,36,36,"$2,940.00",
Brooklyn,"STAR LEG TABLE (COUNTER HEIGHT) 42"" x 42"" x 36""",FIN-BRK-CNT-TAB-42X42,42,42,36,"$3,060.00",
Brooklyn,"STAR LEG TABLE (DINING HEIGHT) 36"" x 36"" x 30""",FIN-BRK-DIN-TAB-36X36,36,36,30,"$2,880.00",
Brooklyn,"STAR LEG TABLE (DINING HEIGHT) 42"" x 42"" x 30""",FIN-BRK-DIN-TAB-42X42,42,42,30,"$3,000.00",
Waterfall,"DINING BENCH w/NO ARMS 72"" x 22"" x 18"" SH",FIN-WFT-DIN-BCH-72X22,72,22,18,"$1,950.00",
Waterfall,"DINING BENCH w/NO ARMS 96"" x 22"" x 18"" SH",FIN-WFT-DIN-BCH-96X22,96,22,18,"$2,400.00",
Waterfall,"FLY LEG BARSTOOL (BAR HEIGHT) 18"" x 18"" x 30"" SH",FIN-WFT-FLY-BST-18X18,18,18,30,$810.00,
Waterfall,"FLY LEG BARSTOOL (COUNTER HEIGHT) 18"" x 18"" x 24"" SH",FIN-WFT-FLY-BST-18X18,18,18,24,$780.00,
Waterfall,"FLY LEG BENCH (DINING HEIGHT) 42"" x 18"" x 18"" SH",FIN-WFT-BCH-42X18,42,18,18,"$1,320.00",
Waterfall,"FLY LEG CHAIR (DINING HEIGHT) 18"" x 18"" x 18"" SH",FIN-WFT-DIN-CHA-18X18,18,18,18,$750.00,
Waterfall,"HALF BACK BARSTOOL (BAR HEIGHT) 17"" x 21"" x 30"" SH",FIN-WFT-FLY-BST-17X21,17,21,30,$830.00,
Waterfall,"HALF BACK BARSTOOL (COUNTER HEIGHT) 17"" x 21"" x 24"" SH",FIN-WFT-FLY-BST-17X21,17,21,24,$800.00,
Taylor,"TAYLOR BARSTOOL (BAR HEIGHT) 19"" x 23"" x 30"" SH",FIN-TAY-BST-19X23,19,23,30,$855.00,
Taylor,"TAYLOR BARSTOOL (COUNTER HEIGHT) 19"" x 23"" x 24"" SH",FIN-TAY-BST-19X23,19,23,24,$825.00,
Taylor,"TAYLOR BARSTOOL w/ARMS (BAR HEIGHT) 24"" x 23"" x 30"" SH",FIN-TAY-BST-24X23,24,23,30,$955.00,
Taylor,"TAYLOR CHAIR w/ARMS (DINING HEIGHT) 24"" x 23"" x 18"" SH",FIN-TAY-DIN-CHA-24X23,24,23,18,$895.00,
Bravada,"BRAVADA OTTOMAN 22"" x 30"" x 16""",FIN-BRV-OTT-22X30,22,30,16,$750.00,
Bravada,"BRAVADA OTTOMAN 22"" x 42"" x 16""",FIN-BRV-OTT-22X42,22,42,16,$850.00,
Bravada,"BRAVADA OTTOMAN 22"" x 60"" x 16""",FIN-BRV-OTT-22X60,22,60,16,$980.00,
Bravada,"BRAVADA OTTOMAN 22"" x 72"" x 16""",FIN-BRV-OTT-22X72,22,72,16,"$1,180.00",
Ocean,"OCEAN OTTOMAN 30"" x 22"" x 16""",FIN-OCN-OTT-30X22,30,22,16,$780.00,
Bravada,"BRAVADA 60"" ROUND SWING 72"" x 12"" SH",FIN-BRV-SWG-72X12,72,12,60'',"$3,120.00",
Bravada,"BRAVADA SWING 66"" x 42"" x 23"" BH",FIN-BRV-SWG-66X42,66,42,23,"$3,900.00",
Bravada,"BRAVADA SWING 72"" x 42"" x 23"" BH",FIN-BRV-SWG-72X42,72,42,23,"$4,400.00",
Bravada,"BRAVADA SWING 96"" x 32"" x 23"" BH",FIN-BRV-SWG-96X32,96,32,23,"$5,400.00",
Cabana,"SQUARE PILLOW 17"" X 17""",FIN-CAB-MIS-17X17,17,17,,$65.00,
Cabana,"SQUARE PILLOW 23"" X 23""",FIN-CAB-MIS-23X23,23,23,,$95.00,
Cabana,"LUMBAR PILLOW 12"" X 24""",FIN-CAB-MIS-12X24,12,24,,$65.00,
Miscellaneous,KINDLE LIVING HEATER (Allison),FIN-KIN-MIS,,,,"$4,995.00",
Miscellaneous,KINDLE LIVING LAMP (Allison),FIN-KIN-MIS,,,,"$4,975.00",
Tenjam,"LAYLO LOUNGER, NO RISERS",FIN-TJM-MIS,,,,$599.99,
Tenjam,"LAYLO LOUNGER W/4"" RISERS",FIN-TJM-MIS,,,,$729.99,
Tenjam,FREELO CHAIR SPLASH,FIN-TJM-CHA,,,,$499.99,
Tenjam,"TWO SHAYZ LOUNGERS FOR 5"" DEPTH",FIN-TJM-MIS,,,,"$1,599.99",
Tenjam,MOON CHAIR W/CUP HOLDERS,FIN-TJM-CHA,,,,$749.99,
Tenjam,TWO WOOSAH CHAIRS,FIN-TJM-MIS,,,,"$1,759.99",
Tenjam,Ripple Table,FIN-TJM-TAB,,,,$464.99,
Marina,LIDO UMBRELLA,FIN-MLN-UMB,,,,$950.00,
Miscellaneous,CANTILEVER UMBRELLA w/BASE,FIN-CAN-UMB,,,,"$5,500.00",
Bravada,BRAVADA SWIVEL CHAIR W/DEKTON SIDEARM,FIN-BRV-SWV-CHA,,,,"$2,880.00",
Bravada,"BRAVADA MINI LOVESEAT 48"" x 34"" x 31"" BH",FIN-BRV-MIN-LOV-48X34,48,34,31,"$2,520.00",
Bravada,"BRAVADA ARMLESS SOFA 34"" x 34"" x 31"" BH",FIN-BRV-ARM-SOF-34X34,34,34,31,"$2,040.00",
Bravada,"BRAVADA OVERSIZED CHAISE 72"" x 42"" x 31"" BH",FIN-BRV-OVS-CHS-72X42,72,42,31,"$3,720.00",
Bravada,"BRAVADA OVERSIZED CHAISE 84"" x 42"" x 31"" BH",FIN-BRV-OVS-CHS-84X42,84,42,31,"$4,200.00",
Brooklyn,"BROOKLYN SOFA 60"" x 34"" x 30"" BH",FIN-BRK-SOF-60X34,60,34,30,"$3,360.00",
Brooklyn,"BROOKLYN SOFA 72"" x 34"" x 30"" BH",FIN-BRK-SOF-72X34,72,34,30,"$3,840.00",
Brooklyn,"BROOKLYN SOFA 84"" x 34"" x 30"" BH",FIN-BRK-SOF-84X34,84,34,30,"$4,200.00",
Brooklyn,"BROOKLYN SOFA 96"" x 34"" x 30"" BH",FIN-BRK-SOF-96X34,96,34,30,"$4,800.00",
Brooklyn,"BROOKLYN CORNER SOFA 72"" x 34"" x 30"" BH",FIN-BRK-COR-SOF-72X34,72,34,30,"$3,720.00",
Brooklyn,"BROOKLYN CORNER SOFA 84"" x 34"" x 30"" BH",FIN-BRK-COR-SOF-84X34,84,34,30,"$4,200.00",
Brooklyn,"BROOKLYN CORNER SOFA 96"" x 34"" x 30"" BH",FIN-BRK-COR-SOF-96X34,96,34,30,"$4,680.00",
Brooklyn,"BROOKLYN CORNER CHAISE 84"" x 42"" x 30"" BH",FIN-BRK-COR-CHS-84X42,84,42,30,"$4,440.00",
Ocean,"OCEAN SWIVEL CHAIR W/DEKTON SIDEARM 34"" x 38"" x 33""",FIN-OCN-SWV-CHA-34X38,34,38,33,"$3,080.00",
Milan,"MILAN OTTOMAN 34"" x 42"" x 16""",FIN-MLN-OTT-34X42,34,42,16,"$1,400.00",
Milan,"MILAN OTTOMAN 34"" x 34"" x 16""",FIN-MLN-OTT-34X34,34,34,16,"$1,280.00",
Milan,"MILAN OTTOMAN 34"" x 72"" x 16""",FIN-MLN-OTT-34X72,34,72,16,"$2,200.00",
,MILAN ONE-SIDED SOFA (base),FIN-MLN-SOF,,,,,
Ocean,"OCEAN SIDE TABLE 20"" x 20"" x 17""",FIN-OCN-SID-TAB-20X20,20,20,17,$900.00,
,BRAVADA COFFEE TABLE (unspecified size),FIN-BRV-COF-TAB,,,,,
Bravada,"BRAVADA COFFEE TABLE 42"" x 72"" x 17""",FIN-BRV-COF-TAB-42X72,42,72,17,"$3,960.00",
Bravada,"BRAVADA COFFEE TABLE 56"" x 72"" x 17""",FIN-BRV-COF-TAB-56X72,56,72,17,"$5,160.00",
Bravada,"BRAVADA SIDE TABLE 20"" x 20"" x 17""",FIN-BRV-SID-TAB-20X20,20,20,17,$780.00,
Ocean,"OCEAN COFFEE TABLE 36"" x 36"" x 17""",FIN-OCN-COF-TAB-36X36,36,36,17,"$2,760.00",
Ocean,"OCEAN COFFEE TABLE 42"" x 72"" x 17""",FIN-OCN-COF-TAB-42X72,42,72,17,"$4,200.00",
Ocean,"OCEAN COFFEE TABLE 56"" x 72"" x 17""",FIN-OCN-COF-TAB-56X72,56,72,17,"$5,400.00",
Ocean,ANGULAR SIDE TABLE,FIN-OCN-SID-TAB-12,,12'',24'',850.00,
Ocean,"FLY TABLE 72"" X 12""",FIN-OCN-TAB-72X12,72,12,2'',$780.00,
Ocean,"FLY TABLE 84"" X 12""",FIN-OCN-TAB-84X12,84,12,2'',$900.00,
Ocean,"FLY TABLE 34"" X 12"" (alt)",FIN-OCN-TAB-34X12,34,12,2'',$650.00,
Ocean,"FLY TABLE 96"" X 12""",FIN-OCN-TAB-96X12,96,12,2'',"$1,150.00",
Ocean,"TRIANGLE SIDE TABLE 32"" x 32"" x 17""",FIN-OCN-SID-TAB-32X32,32,32,17,$750.00,
Ocean,"U SIDE TABLE 13"" x 30"" x 21""",FIN-OCN-SID-TAB-13X30,13,30,21,$625.00,
Waterfall,"WATERFALL SIDE TABLE 40"" x 13"" x 12""",FIN-WFT-SID-TAB-40X13,40,13,12,$985.00,
Daisy,"DAISY BASE ROUND TABLE (DINING HEIGHT) 42"" x 30""",FIN-DAI-DIN-TAB-42X30,42,30,"30""","$4,280.00",
Daisy,"DAISY BASE ROUND TABLE (DINING HEIGHT) 56"" x 30""",FIN-DAI-DIN-TAB-56X30,56,30,"30""","$4,880.00",
Daisy,"DAISY BASE OVAL TABLE 108"" X 56"" X 30""",FIN-DAI-TAB-108X56,108,56,30,"$7,360.00",
Daisy,"DAISY BASE TABLE (BAR HEIGHT) 42"" x 120"" x 42""",FIN-DAI-BAR-TAB-42X120,42,120,42,"$7,080.00",
Daisy,"DAISY BASE TABLE (BAR HEIGHT) 42"" x 72"" x 42""",FIN-DAI-BAR-TAB-42X72,42,72,42,"$5,400.00",
Daisy,"DAISY BASE TABLE (BAR HEIGHT) 42"" x 96"" x 42""",FIN-DAI-BAR-TAB-42X96,42,96,42,"$6,240.00",
Daisy,"DAISY BASE TABLE (BAR HEIGHT) 56"" x 120"" x 42""",FIN-DAI-BAR-TAB-56X120,56,120,42,"$7,380.00",
Daisy,"DAISY BASE TABLE (BAR HEIGHT) 56"" x 56"" x 42""",FIN-DAI-BAR-TAB-56X56,56,56,42,"$4,980.00",
Daisy,"DAISY BASE TABLE (BAR HEIGHT) 56"" x 72"" x 42""",FIN-DAI-BAR-TAB-56X72,56,72,42,"$5,940.00",
Daisy,"DAISY BASE TABLE (BAR HEIGHT) 56"" x 96"" x 42""",FIN-DAI-BAR-TAB-56X96,56,96,42,"$6,660.00",
Daisy,"DAISY BASE TABLE (COUNTER HEIGHT) 42"" x 120"" x 36""",FIN-DAI-CNT-TAB-42X120,42,120,36,"$6,840.00",
Daisy,"DAISY BASE TABLE (COUNTER HEIGHT) 42"" x 72"" x 36""",FIN-DAI-CNT-TAB-42X72,42,72,36,"$5,280.00",
Daisy,"DAISY BASE TABLE (COUNTER HEIGHT) 42"" x 96"" x 36""",FIN-DAI-CNT-TAB-42X96,42,96,36,"$6,120.00",
Daisy,"DAISY BASE TABLE (COUNTER HEIGHT) 56"" x 120"" x 36""",FIN-DAI-CNT-TAB-56X120,56,120,36,"$7,260.00",
Daisy,"DAISY BASE TABLE (COUNTER HEIGHT) 56"" x 56"" x 36""",FIN-DAI-CNT-TAB-56X56,56,56,36,"$4,860.00",
Daisy,"DAISY BASE TABLE (COUNTER HEIGHT) 56"" x 72"" x 36""",FIN-DAI-CNT-TAB-56X72,56,72,36,"$5,820.00",
Daisy,"DAISY BASE TABLE (COUNTER HEIGHT) 56"" x 96"" x 36""",FIN-DAI-CNT-TAB-56X96,56,96,36,"$6,540.00",
Daisy,"DAISY BASE TABLE (DINING HEIGHT) 56"" x 72"" x 30""",FIN-DAI-DIN-TAB-56X72,56,72,30,"$5,640.00",
Daisy,"DAISY BASE TABLE (DINING HEIGHT) 56"" x 96"" x 30""",FIN-DAI-DIN-TAB-56X96,56,96,30,"$6,360.00",
Brooklyn,"BROOKLYN TABLE (BAR HEIGHT) 28"" x 120"" x 42""",FIN-BRK-BAR-TAB-28X120,28,120,42,"$4,560.00",
Brooklyn,"BROOKLYN TABLE (BAR HEIGHT) 28"" x 72"" x 42""",FIN-BRK-BAR-TAB-28X72,28,72,42,"$3,360.00",
Brooklyn,"BROOKLYN TABLE (BAR HEIGHT) 28"" x 96"" x 42""",FIN-BRK-BAR-TAB-28X96,28,96,42,"$3,840.00",
Brooklyn,"BROOKLYN TABLE (BAR HEIGHT) 36"" x 120"" x 42""",FIN-BRK-BAR-TAB-36X120,36,120,42,"$5,160.00",
Brooklyn,"BROOKLYN TABLE (BAR HEIGHT) 36"" x 72"" x 42""",FIN-BRK-BAR-TAB-36X72,36,72,42,"$3,720.00",
Brooklyn,"BROOKLYN TABLE (BAR HEIGHT) 36"" x 96"" x 42""",FIN-BRK-BAR-TAB-36X96,36,96,42,"$4,440.00",
Brooklyn,"BROOKLYN TABLE (COUNTER HEIGHT) 28"" x 72"" x 36""",FIN-BRK-CNT-TAB-28X72,28,72,36,"$3,480.00",
Brooklyn,"BROOKLYN TABLE (COUNTER HEIGHT) 28"" x 120"" x 36""",FIN-BRK-CNT-TAB-28X120,28,120,36,"$4,320.00",
Brooklyn,"BROOKLYN TABLE (COUNTER HEIGHT) 28"" x 72"" x 36"" (alt)",FIN-BRK-CNT-TAB-28X72,28,72,36,"$3,480.00",
Brooklyn,"BROOKLYN TABLE (COUNTER HEIGHT) 28"" x 96"" x 36""",FIN-BRK-CNT-TAB-28X96,28,96,36,"$3,720.00",
Brooklyn,"BROOKLYN TABLE (COUNTER HEIGHT) 36"" x 120"" x 36""",FIN-BRK-CNT-TAB-36X120,36,120,36,"$4,920.00",
Brooklyn,"BROOKLYN TABLE (COUNTER HEIGHT) 36"" x 72"" x 36""",FIN-BRK-CNT-TAB-36X72,36,72,36,"$3,480.00",
Brooklyn,"BROOKLYN TABLE (COUNTER HEIGHT) 36"" x 96"" x 36""",FIN-BRK-CNT-TAB-36X96,36,96,36,"$4,200.00",
Brooklyn,"BROOKLYN TABLE (DINING HEIGHT) 28"" x 120"" x 30""",FIN-BRK-DIN-TAB-28X120,28,120,30,"$4,080.00",
Brooklyn,"BROOKLYN TABLE (DINING HEIGHT) 28"" x 72"" x 30""",FIN-BRK-DIN-TAB-28X72,28,72,30,"$2,880.00",
Brooklyn,"BROOKLYN TABLE (DINING HEIGHT) 28"" x 96"" x 30""",FIN-BRK-DIN-TAB-28X96,28,96,30,"$3,480.00",
Brooklyn,"BROOKLYN TABLE (DINING HEIGHT) 36"" x 120"" x 30""",FIN-BRK-DIN-TAB-36X120,36,120,30,"$4,680.00",
Brooklyn,"BROOKLYN TABLE (DINING HEIGHT) 36"" x 72"" x 30""",FIN-BRK-DIN-TAB-36X72,36,72,30,"$3,240.00",
Brooklyn,"BROOKLYN TABLE (DINING HEIGHT) 36"" x 96"" x 30""",FIN-BRK-DIN-TAB-36X96,36,96,30,"$3,960.00",
Brooklyn,"STAR LEG TABLE (BAR HEIGHT) 36"" x 72"" x 42""",FIN-BRK-BAR-TAB-36X72,36,72,42,"$4,440.00",
Brooklyn,"STAR LEG TABLE (COUNTER HEIGHT) 36"" x 72"" x 36""",FIN-BRK-CNT-TAB-36X72,36,72,36,"$4,320.00",
Brooklyn,"STAR LEG TABLE (DINING HEIGHT) 36"" x 72"" x 30""",FIN-BRK-DIN-TAB-36X72,36,72,30,"$4,200.00",
Waterfall,"WATERFALL TABLE (BAR HEIGHT) 28"" x 120"" x 42""",FIN-WFT-BAR-TAB-28X120,28,120,42,"$7,440.00",
Waterfall,"WATERFALL TABLE (BAR HEIGHT) 28"" x 72"" x 42""",FIN-WFT-BAR-TAB-28X72,28,72,42,"$6,000.00",
Waterfall,"WATERFALL TABLE (BAR HEIGHT) 28"" x 96"" x 42""",FIN-WFT-BAR-TAB-28X96,28,96,42,"$6,720.00",
Waterfall,"WATERFALL TABLE (BAR HEIGHT) 36"" x 120"" x 42""",FIN-WFT-BAR-TAB-36X120,36,120,42,"$7,800.00",
Waterfall,"WATERFALL TABLE (BAR HEIGHT) 36"" x 72"" x 42""",FIN-WFT-BAR-TAB-36X72,36,72,42,"$6,360.00",
Waterfall,"WATERFALL TABLE (BAR HEIGHT) 36"" x 96"" x 42""",FIN-WFT-BAR-TAB-36X96,36,96,42,"$7,080.00",
Waterfall,"WATERFALL TABLE (COUNTER HEIGHT) 28"" x 120"" x 36""",FIN-WFT-CNT-TAB-28X120,28,120,36,"$7,200.00",
Waterfall,"WATERFALL TABLE (COUNTER HEIGHT) 28"" x 72"" x 36""",FIN-WFT-CNT-TAB-28X72,28,72,36,"$5,760.00",
Waterfall,"WATERFALL TABLE (COUNTER HEIGHT) 28"" x 96"" x 36""",FIN-WFT-CNT-TAB-28X96,28,96,36,"$6,480.00",
Waterfall,"WATERFALL TABLE (COUNTER HEIGHT) 36"" x 120"" x 36""",FIN-WFT-CNT-TAB-36X120,36,120,36,"$7,560.00",
Waterfall,"WATERFALL TABLE (COUNTER HEIGHT) 36"" x 72"" x 36""",FIN-WFT-CNT-TAB-36X72,36,72,36,"$6,120.00",
Waterfall,"WATERFALL TABLE (COUNTER HEIGHT) 36"" x 96"" x 36""",FIN-WFT-CNT-TAB-36X96,36,96,36,"$6,840.00",
Waterfall,"WATERFALL TABLE (DINING HEIGHT) 28"" x 120"" x 30""",FIN-WFT-DIN-TAB-28X120,28,120,30,"$6,960.00",
Waterfall,"WATERFALL TABLE (DINING HEIGHT) 28"" x 72"" x 30""",FIN-WFT-DIN-TAB-28X72,28,72,30,"$5,520.00",
Waterfall,"WATERFALL TABLE (DINING HEIGHT) 28"" x 96"" x 30""",FIN-WFT-DIN-TAB-28X96,28,96,30,"$6,240.00",
Waterfall,"WATERFALL TABLE (DINING HEIGHT) 36"" x 120"" x 30""",FIN-WFT-DIN-TAB-36X120,36,120,30,"$7,320.00",
Waterfall,"WATERFALL TABLE (DINING HEIGHT) 36"" x 72"" x 30""",FIN-WFT-DIN-TAB-36X72,36,72,30,"$5,880.00",
Waterfall,"WATERFALL TABLE (DINING HEIGHT) 36"" x 96"" x 30""",FIN-WFT-DIN-TAB-36X96,36,96,30,"$6,600.00",
Daisy,"DAISY BASE FIRE PIT DINING TABLE 84"" x 56"" x 30""",FIN-DAI-FIR-TAB-84X56,84,56,30,"$8,500.00",
